외국인 등록번호,이름,OX리스트,선택답안,점수,결과
7353609335,Enkhbayar,XXXXXXOXXXXXXXXXXXXXXXXXXOXXXXOOXXXOXXXXXXXXXXXXXO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",46.11,
1354266806,Li Wei,OOOOXOOXOOXOOOOOXXOOOOOOXOOOOOOOOOOOOOOXXXXOXOOOOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",100.0,통과
4578110142,Chai,XXXXXXOOXXXXXXXOXXXXXXXXXXOXXXXXXXOXXXXXXXXXXXXXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",60.65,통과
5514430492,Aziz,XXXXXOXOXXXXOXXXOXXXOXOXXXXXXXOXXXXXXXXXXXXOXXXXXO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",74.02,통과
8751806549,Hoang,XXXXXXXXXXOXXXXXOXXXXOXOXXXXXOXXXXXXXXXXXOOXXXXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",90.71,통과
2541465566,Preecha,XXXXXXXXXXXXXXXXXXXOXXXXXXXXOXXXXXXXXXXXXXXOXXXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",61.65,통과
875053490,Jose,XOOOXXOXXXXOXXXXXXXXOXXXXOXXOXOXXXXXXXXXXXXOXXXOOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",95.3,통과
4755716262,Wang Fang,XXXOXXXXXXXOXXXXXXXXXXXXXXXXOXXXXXXXXXXXOXXXXOXXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",45.73,
814900276,Wang Fang,OXOOXOOOXOOXOXXOOXOOXOXXXOOXOOOXXXOXOOOOOOOOOXOXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",55.88,
5621119327,Liu Yang,OXXXOXXOXXOXXXOOXOOOXOOOOOOXOXXOXXOOOXXOOOXXOOXXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",90.82,통과
6033437692,Chen Jie,XXOOXXOXOOOXXOOOOXOXXOOXOXXXOXXXXXXXOOOXXOOXOXOOOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",87.24,통과
9402890323,Rustam,XXXXXOXXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",61.49,통과
9656914669,Le,XXXXXXXXXOXOXXXOXXXXXXXXXXOXXXXXXXXXXXOXXXXOXXXOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",95.46,통과
3809829570,Maria,XXOOXOXOOOOOOOOOXOXOOOXOOOOOOOOOXOXOXOOXXOXOOOOOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",48.42,
2563731859,Le,XXOXXOXOXOOOOXXOXOOXXOOOXXXXOXXOXOXXXXOXXXOXOXXXOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",61.01,통과
1256620396,Enkhbayar,XOOOOXOOOXXOXOXOXOXOOXXOXOOXOOXXXOXOOOOOXOXXOOOOXO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",86.56,통과
5849278990,Li Wei,XXXXOXXXXXXXXXXXXXXOXXXOOXXXXXOXXXXXXXXXXXXXXXXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",100.0,통과
3913831092,Ali,XOOXXXXXXXXOOXXXXXXXOXXOXXXXXXOXXOXXXXXOOOXXXXXOOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",84.75,통과
8307065543,Hoang,XXXXXXOOXOOXOXXXXOXXOXOOXXOXXOXXXOOOXOXXXXOXXXOXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",73.15,통과
3352440382,Chen Jie,OXXXOXOOXXOXOXOXXXOOOOXOOOOXXOOOOXXXXOOXXOOXXXXXXO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",84.97,통과
