외국인 등록번호,이름,성별,나이,국적,거주지,직업,한국어 수준,점수,OX리스트,득점리스트,선택답안,문항코드리스트,문항배점리스트
7353609335,Enkhbayar,남,28,몽골,서울,예술가,2,19.5,XXXXXXXXXOXXOXXOXXXXOOXXXXXXXXOXXOXXXOXXOXXXXXOOOO,"0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,0,1.5,0,0,1.5,0,0,0,0,0,1.5,1.5,1.5,1.5","2,1,4,4,1,4,2,3,4,1,2,4,3,2,2,4,1,4,4,4,1,3,2,1,2,2,3,4,2,1,3,3,4,3,4,1,4,4,4,3,2,1,1,1,3,4,1,4,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
1354266806,Li Wei,남,47,중국,부산,유학,4,28.5,XXXXXXOOXXOXOXOXXXXXOOXXOXOOXXOXXOXOOXOOXXXXOXXXOO,"0,0,0,0,0,0,1.5,1.5,0,0,1.5,0,1.5,0,1.5,0,0,0,0,0,1.5,1.5,0,0,1.5,0,1.5,1.5,0,0,1.5,0,0,1.5,0,1.5,1.5,0,1.5,1.5,0,0,0,0,1.5,0,0,0,1.5,1.5","3,4,1,1,1,1,3,1,1,3,4,1,3,2,3,1,4,3,2,4,1,3,4,2,3,1,4,2,4,1,3,3,3,3,1,2,3,3,3,4,4,3,1,4,2,1,4,1,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
4578110142,Chai,여,23,태국,대전,언어연수,2,25.5,XOXOOOXOOXXXXXXOXXXXXXOXXXXXXXXXXXOOXOXOOXOXXXOXOO,"0,1.5,0,1.5,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,0,1.5,1.5,0,1.5,0,0,0,1.5,0,1.5,1.5","2,2,4,3,4,3,2,1,2,4,2,4,2,4,2,4,1,4,4,2,3,1,3,2,1,2,3,4,2,1,1,3,1,2,3,2,4,4,1,4,2,1,3,4,3,4,1,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
5514430492,Aziz,남,35,우즈베키스탄,대구,유학,1,3.0,XXXXXXXXXXXXXXXXXXXXOXXXXXXXXXXOXXXXXXXXXXXXXXXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,4,1,2,1,1,4,3,1,2,1,1,1,1,2,2,2,3,1,1,1,1,2,4,4,2,2,4,4,4,1,4,4,2,4,4,2,1,1,2,1,1,2,4,3,4,2,1,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
8751806549,Hoang,남,30,베트남,대구,노동자,1,7.5,XXXXXXXXXXXXXXXXOXXXXXXXXXOXXXXXXXXXXXOXXXXXOXXXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,0,1.5,0","3,3,4,4,3,4,1,2,3,2,1,1,4,2,2,2,3,3,2,4,4,2,1,2,2,1,4,1,2,2,1,2,4,2,1,1,4,2,3,2,3,3,2,1,2,1,4,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
2541465566,Preecha,남,37,태국,인천,유학,1,16.5,XXXOXOXOXXXXXXXXOOXXXXXOXXXOXXXXXXOOXXXXXXXOXXOXXX,"0,0,0,1.5,0,1.5,0,1.5,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,0","2,4,4,3,3,3,2,1,4,3,3,3,2,1,2,1,3,1,1,2,3,4,4,3,2,3,2,2,4,4,1,1,4,2,3,2,2,3,4,2,1,4,2,2,4,4,1,2,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
875053490,Jose,여,43,필리핀,대전,예술가,1,13.5,XXXXXXXXXOXXXXXOOOXXXXXXXXOXXXXOXXXXXXOXXXXOXOXXXX,"0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,1.5,0,0,0,0","4,4,1,1,2,2,1,3,1,1,3,3,1,2,1,4,3,1,2,2,2,4,4,4,1,2,4,4,2,1,2,4,1,2,2,1,2,1,3,2,3,1,2,2,1,3,2,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
4755716262,Wang Fang,남,18,중국,대전,예술가,1,7.5,XOXXXXXXXXXXXXXXXXXOXXXXXXXOXXXXXXXXXXXXXXXXXXOOXX,"0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0","3,2,2,4,1,2,2,2,4,2,1,3,1,4,2,2,4,2,1,3,2,2,4,4,2,1,1,2,2,2,1,1,4,1,1,4,4,1,4,3,3,4,2,1,3,2,1,4,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
814900276,Wang Fang,남,41,중국,울산,노동자,3,25.5,XOOOXOXXOXOXXXXOXXXXXXXXOOOOOXOXXXOXOXXXXXXOXOXXXX,"0,1.5,1.5,1.5,0,1.5,0,0,1.5,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,0,1.5,0,0,0,1.5,0,1.5,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0","2,2,3,3,2,3,2,2,2,2,4,4,2,1,2,4,4,3,1,2,4,4,1,1,3,4,4,2,3,1,3,3,1,2,3,1,3,2,2,3,4,3,2,2,3,3,3,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
5621119327,Liu Yang,여,18,중국,서울,유학,3,28.5,XXXXXXOXOXXOOOXOXOXXOOXXXXXOOOOOOXXXXXXXXOXXXOOXOX,"0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,1.5,1.5,0,1.5,0,1.5,0,0,1.5,1.5,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,1.5,0,1.5,0","4,1,2,1,1,1,3,2,2,4,2,2,3,3,1,4,1,1,4,1,1,3,2,2,1,2,3,2,3,3,3,4,2,4,2,3,1,1,2,1,4,2,4,3,4,3,1,2,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
